Ec X,Ec Y,Ev X,Ev Y,Efn X,Efn Y,Efp X,Efp Y
0.32499999,0.31637179,0.32499999,-0.80778744,0.32499999,-0.039116305,0.32499999,-0.59999926
0.32537407,0.31637188,0.32537407,-0.80778735,0.32537407,-0.039086647,0.32537407,-0.59999926
0.328125,0.31637255,0.328125,-0.80778668,0.328125,-0.038868534,0.328125,-0.59999925
0.32849908,0.31637264,0.32849908,-0.80778659,0.32849908,-0.038839156,0.32849908,-0.59999925
0.33125001,0.31637331,0.33125001,-0.80778592,0.33125001,-0.038623108,0.33125001,-0.59999925
0.33162406,0.3163734,0.33162406,-0.80778583,0.33162406,-0.038594006,0.33162406,-0.59999924
0.33437499,0.31637407,0.33437499,-0.80778516,0.33437499,-0.038379982,0.33437499,-0.59999924
0.33474907,0.31637417,0.33474907,-0.80778507,0.33474907,-0.038351151,0.33474907,-0.59999924
0.33750001,0.31637484,0.33750001,-0.8077844,0.33750001,-0.038139115,0.33750001,-0.59999923
0.33787405,0.31637493,0.33787405,-0.8077843,0.33787405,-0.038110549,0.33787405,-0.59999923
0.34062499,0.3163756,0.34062499,-0.80778363,0.34062499,-0.037900465,0.34062499,-0.59999922
0.34099907,0.31637569,0.34099907,-0.80778354,0.34099907,-0.037872159,0.34099907,-0.59999922
0.34375,0.31637636,0.34375,-0.80778287,0.34375,-0.03766399,0.34375,-0.59999922
0.34412408,0.31637645,0.34412408,-0.80778278,0.34412408,-0.03763594,0.34412408,-0.59999922
0.34687501,0.31637712,0.34687501,-0.80778211,0.34687501,-0.037429652,0.34687501,-0.59999921
0.34724906,0.31637721,0.34724906,-0.80778202,0.34724906,-0.037401853,0.34724906,-0.59999921
0.34999999,0.31637788,0.34999999,-0.80778135,0.34999999,-0.037197412,0.34999999,-0.5999992
0.35037407,0.31637797,0.35037407,-0.80778126,0.35037407,-0.03716986,0.35037407,-0.5999992
0.35312501,0.31637864,0.35312501,-0.80778059,0.35312501,-0.036967234,0.35312501,-0.5999992
0.35349905,0.31637873,0.35349905,-0.8077805,0.35349905,-0.036939923,0.35349905,-0.59999919
0.35624999,0.3163794,0.35624999,-0.80777983,0.35624999,-0.03673908,0.35624999,-0.59999919
0.35662407,0.31637949,0.35662407,-0.80777974,0.35662407,-0.036712008,0.35662407,-0.59999919
0.359375,0.31638016,0.359375,-0.80777907,0.359375,-0.036512915,0.359375,-0.59999918
0.35974908,0.31638025,0.35974908,-0.80777898,0.35974908,-0.036486077,0.35974908,-0.59999918
0.36250001,0.31638092,0.36250001,-0.80777831,0.36250001,-0.036288705,0.36250001,-0.59999917
0.36287406,0.31638101,0.36287406,-0.80777822,0.36287406,-0.036262097,0.36287406,-0.59999917
0.36562499,0.31638168,0.36562499,-0.80777755,0.36562499,-0.036066416,0.36562499,-0.59999917
0.36599907,0.31638177,0.36599907,-0.80777746,0.36599907,-0.036040035,0.36599907,-0.59999917
0.36875001,0.31638244,0.36875001,-0.80777679,0.36875001,-0.035846016,0.36875001,-0.59999916
0.36912405,0.31638253,0.36912405,-0.8077767,0.36912405,-0.035819857,0.36912405,-0.59999916
0.37187499,0.3163832,0.37187499,-0.80777603,0.37187499,-0.035627473,0.37187499,-0.59999915
